Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    237.12     0.00      208     0.00     0.00  std::_Head_base<8ul, double, false>::_M_head(std::_Head_base<8ul, double, false>&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Head_base<8ul, double, false>::_Head_base<double&>(double&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<0ul, double, double, double, double, double>::_M_head(std::_Tuple_impl<0ul, double, double, double, double, double>&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<0ul, double, double, double, double, double>::_Tuple_impl<double&, double&, double&, double&, double&>(std::_Tuple_impl<0ul, double&, double&, double&, double&, double&>&&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<0ul, double, double, double, double, double, double, double, double, double>::_M_head(std::_Tuple_impl<0ul, double, double, double, double, double, double, double, double, double>&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<0ul, double, double, double, double, double, double, double, double, double>::_Tuple_impl<double&, double&, double&, double&, double&, double&, double&, double&, double&>(std::_Tuple_impl<0ul, double&, double&, double&, double&, double&, double&, double&, double&, double&>&&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<1ul, double, double, double, double>::_M_head(std::_Tuple_impl<1ul, double, double, double, double>&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<1ul, double, double, double, double>::_Tuple_impl<double&, double&, double&, double&>(std::_Tuple_impl<1ul, double&, double&, double&, double&>&&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<1ul, double, double, double, double, double, double, double, double>::_M_head(std::_Tuple_impl<1ul, double, double, double, double, double, double, double, double>&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<2ul, double, double, double>::_M_head(std::_Tuple_impl<2ul, double, double, double>&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<2ul, double, double, double>::_Tuple_impl<double&, double&, double&>(std::_Tuple_impl<2ul, double&, double&, double&>&&)
  0.00    237.12     0.00      208     0.00     0.00  std::_Tuple_impl<2ul, double, double, double, double, double, double, double>::_M_head(std::_Tuple_impl<2ul, double, double, double, double, double, double, double>&)
